CustID	DUALPLAY	FRAGILITE	TV	TOY	Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44	Var45	Var46	Var47	Var48	Var49	Var50	Var51	Var52	Var53	Var54	Var55	Var56	Var57	Var58	Var59	Var60	Var61	Var62	Var63	Var64	Var65	Var66	Var67	Var68	Var69	Var70	Var71	Var72	Var73	Var74	Var75	Var76	Var77	Var78	Var79	Var80	Var81	Var82	Var83	Var84	Var85	Var86	Var87	Var88	Var89	Var90	Var91	Var92	Var93	Var94	Var95	Var96	Var97	Var98	Var99	Var100	Var101	Var102	Var103	Var104	Var105	Var106	Var107	Var108	Var109	Var110	Var111	Var112	Var113	Var114	Var115	Var116	Var117	Var118	Var119	Var120	Var121	Var122	Var123	Var124	Var125	Var126	Var127	Var128	Var129	Var130	Var131	Var132	Var133	Var134	Var135	Var136	Var137	Var138	Var139	Var140	Var141	Var142	Var143	Var144	Var145	Var146	Var147	Var148	Var149	Var150	Var151	Var152	Var153	Var154	Var155	Var156	Var157	Var158	Var159	Var160	Var161	Var162	Var163	Var164	Var165	Var166	Var167	Var168	Var169	Var170	Var171	Var172	Var173	Var174	Var175	Var176	Var177	Var178	Var179	Var180	Var181	Var182	Var183	Var184	Var185	Var186	Var187	Var188	Var189	Var190	Var191	Var192	Var193	Var194	Var195	Var196	Var197	Var198	Var199	Var200	Var201	Var202	Var203	Var204	Var205	Var206	Var207	Var208	Var209	Var210	Var211	Var212	Var213	Var214	Var215	Var216	Var217	Var218	Var219	Var220	Var221	Var222	Var223	Var224	Var225	Var226	Var227	Var228	Var229	Var230
0000B	0	0	0	0						490	7						2060								92	115		6	112			133.12							0			3534						0													4.091647								9								128	105		13048		0			2739.141		0		6																								56			32	-4831.72						215				12		5823	58						0	0	7134						95			0	18					9128				28704							0			8334										0								0											UCDvyx8zhV	g62hiBSaKg	SEuy	taul	1K8T	yMvB	fhk21Ss	u2p2Afw	8xDcYaS	smXZ	XeWN	9_Y1	MBhA	sJzTlal	haYg	7M47J5GA0pTYIFxg5uy	kIsH		uKAI	L84s	4kVnq_T26xq1p		UlUyhO5		cUQ4ya6	UPjY	UYBR	FzaX	4UxGlow	zCkv	catzS2D	LM8l689qOp		kG3k	WqMG	ZI9m	ib5G6X1eUxUn6	mj86	
0000C	0	0	0	1						798	14						2892								236	295		8	40			133.12							5			446868						0													4.432173								27							6	76	371		147784		0			9885.09		10		28									180963															120			120	67166.4						295				24		66825	52						8	134105	15166						13115			0	0					50701				613124							38			154482										0								0								234			crIgUHSK8h	RO12	SEuy	taul	1K8T	lK27	FcmhANo	nQUeejKKqM	vO83GOe	smXZ	gMVu	9_Y1	RVjC	sJzTlal	sYC_	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L		0I_DbAx		7WwoY2y	YihF	UYBR	qxDb	OXxlI5k	oslk	VWtIBQt	LM8l689qOp		kG3k	FSa2	RAYp	F2FyR07IdsN7I		
0000D	0	0	0	0						595	0						2044								0	0			0			240.56							0			0						0													1.899594								9								148	0		0		0			34917		0		0																											0	-45625.2						205				0		44154	10						0	0	0						0			0	27									0							0			0										0								0											O8Zr4Rdc_a	onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890		taul	1K8T	0aHy	fqeOwLG	_jTP8ioIlJ	7aLZlRR		WrUa	9_Y1	em8I	VpdQ	hAFG	7M47J5GA0pTYIFxg5uy	kIsH		g5HH	L84s	TVE1uh4F_wOi_		FhzTDUf		CWNdri0	XmzQ	cJvF	FzaX	fxJmel6	zCkv	WfsWw2A	LM8l689qOp			me1d	ZI9m	iyHGyLCEkQ	mj86	
0000E	0	0	0	0						2268	0						0								480	600		10	216			176.56							0			87294						0													2.524888								9								48	0		399032		0			19991.43		25		22																								104			104	-179277.6						1575				54		5202							0	2772010	1095062						0			0	0					793065				5710720							110			1521276										0								0											cFHt0GoOh3	RO12	SEuy	taul	1K8T	JLbT	8Nsx4QS	tShEte6VIU	k8ssX88	smXZ	yHE5	9_Y1	rGJy	VpdQ	IYzP	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L		6HAFFdE		mAja5EA	zJUL	cJvF	FzaX	WaovEWW	oslk	QKXEsaq	LM8l689qOp		xG3x	Qu4f	RAYp	F2FyR07IdsN7I		
0000F	1	0	0	0						3633	7						500								148	185		0	8			236.08							0			8521620						0													3.357189								9							3	34	161		1382400		0			32325.3		30		0									4440															32			16	357684.4						1325				102		31104	8						0	2170355	57596						70			0	18					0				10297360							22			0										0								0								264			2jiWq69cTy	RO12		taul	1K8T	ssAy	creCyD5	_jTP8ioIlJ			YI3u	9_Y1	0A_v	VpdQ	zm5i	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L				kZJtVhC	kp5U	cJvF	FzaX	Hlo8hdx	oslk	kYwEsaq	LM8l689qOp			PM2D	RAYp	F2FyR07IdsN7I		
00010	0	0	0	0						259	0						348								8	10		0	0			166.56							0			0						0													1.224525								9								132	0		34032		0			1691.829		0		0																								16			16	-2135.144						20				0		2574							0	0	0						0			0	9					0				17016							0			0										0								0								240			_v2TmBftjz	2Knk1KF		taul	1K8T	0Xwj	Mqs4NQF	FoJylxy	nFLbAk0		w8Au	dgxZ	4N0K	VpdQ	wMei	me75fM6ugJ	sBgB		uKAI	L84s	h0lfDKh52u4GP		aBRFxR4		IoI4mKe	015k	cJvF	FzaX	XsNOZ4E	oslk	IIvQguc	LM8l689qOp		ELof	Qu4f	RAYp	55YFVY9	oJmt	
00011	0	0	0	0						5152	7						2024								584	730		6	320			220.08							30			3253506						0													2.873745								9								158	175		1660392		0			25544.49		75		14																								96			112	-9852						2470				186		8019							48	3571845	587392						8495			0	36					27881				9025240							78			2008362										0								0											FoxgUHSK8h	onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890	SEuy	taul	1K8T	0Xwj	fqeOwLG	nQUq7hGe64	6IEmZtf	smXZ	5xto	HLqf	mTeA	09_Q	hAFG	7M47J5GA0pTYIFxg5uy	sBgB		uKAI	L84s	XfqtO3UdzaXh_		uG5HvGh		XTbPUYD	2Rt3	UYBR	FzaX	fxJmel6	oslk	WfsWw2A	jySVZNlOJy		kG3k	FSa2	ZI9m	iyHGyLCEkQ	am7c	
00012	0	0	0	0						1449	7						28								168	210		2	32			166.56							5			548748						0													3.308268								9								140	0		306192		0			30019.2		0		0																								16			128	-35706.72						690				30		5319							8	500295	31436						120			0	18					173894				982036							34			0										0								0											FAJgUH7ejg	AERks4l		taul	1K8T	0Xwj	fhk21Ss	YQcPlrpk3ptPA			wuAn	HLqf	1Bp0	VpdQ	wMei	7M47J5GA0pTYIFxg5uy	sBgB		uKAI	L84s	QsQAxv5				ORMYgRH	EQ8w	UYBR	AU8pNoi	4UxGlow	QKW8DRm	catzS2D	LM8l689qOp			WqMG	ZI9m	ib5G6X1eUxUn6	am7c	
00013	0	0	0	1						574	7						1752								12	15		2	0			253.52							0			0						0													5.430891								18								66	0		4132128		0			232930.5		0		2																								16			8	-514956						165				0		13788	4						0	918350	0						5			0	9					170240				2898024							2			145920										0								0											TfiWq69R_D	RO12	lvza	taul	1K8T	JLbT	uMA4Shd	9UgkRNa9Jb	y37rlSq	smXZ	0xFv	9_Y1	RVjC	VpdQ	IYzP	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L		HgPJ3gl		NGZMmo2	Kz6e	UYBR	qxDb	meWmFX7	oslk	DQ3iZDY	jySVZNlOJy		kG3k	FSa2	RAYp	F2FyR07IdsN7I		
00014	0	1	0	0						658	7						0								156	195		2	96			166.56							0			0						0													5.402905								9							3	38	0		153672		0			46263.9		0		14									822															56			24	64737.2						845				0		7110							0	2055150	392138						45			0	0					32249				2807668							34			453654										0								0								132			EsYrjIX0Db	RO12		taul	1K8T	lK27	GRl7qwL	wqsRhwb			q9lF	9_Y1	xQ2A	VpdQ	sYC_	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L				7Ww_Xqy	gvA6	UYBR	FzaX	xDj6pd1	oslk	VQZzrB7	LM8l689qOp			5Acm	RAYp	F2FyR07IdsN7I		
00015	0	0	0	0						245	0						0								168	210		2	56			272.08							0			4663572						0													0.1670583								9							3	16	0		1373808		0			177741.3		20		8									97266															40			24	91102						590				66		0	-8						0	3258940	1121306						0			0	0					31675				10535080							26			1582350										0								0								282			75lq9ayfAo	RO12		taul	1K8T	JLbT	GUg04mC	7ONkRNQCK7			d8PQ	9_Y1	AKLO	VpdQ	IYzP	me75fM6ugJ	kIsH		uKAI	Mtgm	NhsEn4L				7WwOAni	byLP	UYBR	FzaX	6g5Ojel	oslk	UbjqFbB	LM8l689qOp			TNEC	RAYp	F2FyR07IdsN7I		
00016	0	0	0	0						14	0						0								20	25		2	0			86.96							0			7642260						0													0.1204871								9								16	0		9148400		0			556521		0		0																								16			16	409376						70				18		0	-10						0	0	0						0			0	0					3771236				9669040							0			0										0								0											TfiWq69R_D	RO12		taul	1K8T	2Ix5	af1vEdV	lGXpFd_2Rf			hRZh	9_Y1	RVjC	sJzTlal	IYzP	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L				7Ww3FSW	oSQY	UYBR		b0vOZ4E	oslk	1gu2qo0				FSa2	RAYp	F2FyR07IdsN7I		
00017	0	0	0	0						826	0						24								192	240		2	80			166.56							0			0						0													3.714591								9								60	0		125304		0			10731.84		0		12																								16			24	-134694.4						710				0		531	36						0	491345	56742						0			0	9					57911				637640							58			102642										0								0								330			vAsgUHXM47	RO12		taul	1K8T	487l	WIUdTJr	Hz673939hbJdw	vjrDUsz		m_UC	9_Y1	LqKm	VpdQ	IYzP	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L		hx2oFMh		mAjbk_S	EUjZ	UYBR	FzaX	ALC68SY	oslk	9JvQQMs	LM8l689qOp		ELof	453m	RAYp	F2FyR07IdsN7I	mj86	
00018	0	1	0	1						854	7						76								52	65		0	56			198.88							0			284244						0													0.9647511								9								36	28		9676800		0			192866.7		5		0																								16			16	202718						540				12		16803	12						0	201110	1693090						1755			0	18					0				9935600							2			0										0								0											DQlgUH7IEC	RO12		taul	1K8T	72yt	DVqAQJk	0ZlStaN			CeDO	9_Y1	m_h1	VpdQ	IYzP	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L				mAjbk_S	iWSK	UYBR	FzaX	t0rm0jM	oslk	rUj52Lp	jySVZNlOJy			WqMG	RAYp	F2FyR07IdsN7I		
00019	1	0	0	1						1218	7						64								216	270		8	128			200							0			0						0													1.378765								9							3	96	28		1352872		0			57765.3		0		14									75															48			72	299721.6						795				0		25740							0	2932660	313200						1480			0	9					548877				4009000							44			540024										0								0								240			NESt0G8EIb	RO12	SEuy	taul	1K8T	wOc1	gwY4NQF	k10MzgT	JVHUxsC	smXZ	Av9x	9_Y1	k13i	VpdQ	kxE9	me75fM6ugJ	kIsH		uKAI	L84s	h0lfDKh52u4GP		PobAzRT		IoI4mKe	a8iv	cJvF	FzaX	t5EoLzk	oslk	ag5iNPX	jySVZNlOJy		xG3x	fKCe	RAYp	F2FyR07IdsN7I		
0001A	1	0	0	0						1043	7						652								152	190		4	16			20.08							10			7116060						9													4.443495								27							6	34	182		2970080		15			155352.6		25		0									678285															48			56	92466						555				90		10368							80	2871945	156550						20290			0	9					151291				10452560							18			0										2								7											Mtpt0G8EIb	RO12		taul	1K8T	wOc1	f2Cr1U6	3cOC7qZ			FyvZ	9_Y1	e7QV	VpdQ	43pnToF	DHn_WUyBhW_whjA88g9bvA64_	kIsH		uKAI	L84s	CrNX				y5FewfI	WolC	cJvF	FzaX	Qkc66eq	d0EEeJi	CmhRjAG	LM8l689qOp			fKCe	nIGXDli	F2FyR07IdsN7I		
0001B	0	0	0	0				0													0	0	0																		0																				4.939116																8									0						10											16		0					0							-1476524				441686							0		-16	0	14							267.05			0							12					0		0			0			0			0			0	0						993798			0					0			1325058									r__I	639TmBQxul	RO12		taul	1K8T	lK27	3d6Ybuk	J_sb4dmQwP			fgRx	9_Y1	TjV7	VpdQ		me75fM6ugJ	kIsH		uKAI	Mtgm	NhsEn4L				7WwuNea	G20O	UYBR		T6w0nTz	oslk	nytT3Cb				FSa2	RAYp	F2FyR07IdsN7I		
0001C	0	0	0	0						1533	7						84								332	415		6	208			133.12							0			29988						0													2.818628								9								98	35		254040		0			3849		10		4																								48			72	-102479.2						1110				48		1701	32						0	135615	70790						575			0	0					131712				453400							72			76128										0								0											xOXr4RXktW	RO12	SEuy	taul	1K8T	JLbT	OnikTQ1	ARvzJXx	WIG75u4	smXZ	Phiv	9_Y1	TFSW	VpdQ	sYC_	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L		fjwLtIj		kq0aHkC	uAgP	UYBR	FzaX	O30mFX7	oslk	IhKskzO	LM8l689qOp		kG3k	Xa3G	RAYp	F2FyR07IdsN7I	mj86	
0001D	0	0	0	1						161	0						48								0	0			0			257.28							0			0						0							0						3.292032								9								144	0		0		0			81690.3		0		0																											0	-193827.6						0				0		223920							0	0	0						0			0	9									0							0			0										0								0								282			7Cwt0Gdc_a	2Knk1KF		LfvqpCtLOY	1K8T	4fje	x8bPoJV	hOpRIhsUSP	Uw6SDm8		Bp6l	9_Y1	cyKH	VpdQ	haYg	me75fM6ugJ	kIsH		g5HH	L84s	XfqtO3UdzaXh_		PXYoFMh		XTbPUYD	bCpn	cJvF		Ik20nTz	oslk	DNvRusu				me1d	RAYp	55YFVY9	am7c	
0001E	1	0	0	0						63	0						0								312	390		0	120			200							0			0						0													1.770562								9							3	20	0		9944		0			4932.45		0		2									39879															0			16	17125.72						835				0		0	-4						0	525880	31552						0			0	9					0				489120							120			510										0								0											Yddq9ayE15	RO12		taul	1K8T	hAOr	7z8V8VT	VqnbMThC8i			oBIs	9_Y1	F_Lu	09_Q	zm5i	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L				7Ww3FSW	Whzu	cJvF	FzaX	h72fSEp	oslk	e7bTQlu	LM8l689qOp			TNEC	RAYp	F2FyR07IdsN7I		
0001F	0	0	0	1						924	28						4896								112	140		4	56			166.56							0			0						0													2.19953								36							12	88	42		209616		0			48747		0		12									50238															32			24	88383.6						470				0		31095							0	1271225	359964						1105			0	0					197659				2092448							24			376098										0								0											9hRmfo875g	RO12		taul	1K8T	0Xwj	1ucchDb	_jTP8ioIlJ	3VuZYbJ		3_hq	HLqf	Ew1Q	VpdQ	IYzP	me75fM6ugJ	sBgB		uKAI	L84s	NhsEn4L		d8tNJU2		mAjbk_S	Iunr	cJvF	FzaX	LWnfSEp	oslk	CqZz20V	LM8l689qOp		ELof	wX53	RAYp	F2FyR07IdsN7I	mj86	
00020	0	0	0	1						469	7						4688								28	35		0	16			285.2							0			1036800						0													6.463149								18							3	168	133		0		15			265433.7		5		0									16263															0			0	-797660						240				12		109728							56	100685	345600						265			0	9					0				1808548							4			0										0								14											DHeTmBftjz	rEUOq2QD1qfkRr6qpua		taul	1K8T	LFM_	fhk21Ss	Oe4E7cR6Kt	FTPiV5F		MYaJ	9_Y1	Gx0B	VpdQ	kxE9	7M47J5GA0pTYIFxg5uy	kIsH		uKAI	L84s	oOT00mkwDoEFW		amliAvl		11pSf3Y	gIWj	cJvF	FzaX	4UxGlow	zCkv	catzS2D	LM8l689qOp		ELof	Qu4f	ZI9m	ib5G6X1eUxUn6	mj86	
00021	1	0	0	1						833	14						7124								132	165		2	24			220.08							0			164814						0													5.249733								18							6	76	259		5873104		0			220966.2		5		0									205953															32			72	130967.2						505				12		8523							0	7762050	518400						7700			0	0					604800				10307960							36			0										0								0								330			MtpBcmzkzH	RO12	SEuy	taul	1K8T	0Xwj	Z4ho8ot	hCdK	KCO5XcN	smXZ	5GHH	HLqf	KubS	VpdQ	IYzP	me75fM6ugJ	sBgB		uKAI	L84s	NhsEn4L		BW7IAPd		kZJs2nh	q1HC	UYBR	FzaX	pqU6hzI	oslk	XKaTy9x	M_8D		kG3k	Qcbd	RAYp	F2FyR07IdsN7I	mj86	
00022	0	0	0	1						1008	14						2616								160	200		4	40			133.12							0			2454402						0													1.941252								18							3	50	532		1676912		0			184626		35		4									25446															72			40	110152						620				36		48285	-28						0	6194900	215300						1895			0	9					817747				10532560							30			659778										0								0											bZk9tYsGvO	RO12	SEuy	taul	1K8T	0Xwj	_A3lbGp	BQy_jOtOBD	5sBdR4U	smXZ	18g2	HLqf	YULl	VpdQ	IYzP	me75fM6ugJ	sBgB		uKAI	L84s	NhsEn4L		HkdRwPW		TDcECyH	2ozN	UYBR	FzaX	ErGY_02	oslk	a4oQQMs	LM8l689qOp		kG3k	FSa2	RAYp	F2FyR07IdsN7I		
00023	0	0	0	0						2198	14						5324								512	640		10	304			133.12							0			53052						0													1.010254								36							3	94	602		628384		0			5657.07		0		26									193170															112			168	31352.44						1790				48		3861	22						0	793405	142880						2510			0	9					263340				1404632							96			201882										0								0								342			JMGrjIXt5a	RO12		taul	1K8T	TyGl	bvZcCja	Tg7jjBB	tMkqAK_		5MNP	9_Y1	m7JR	VpdQ	haYg	me75fM6ugJ	kIsH		uKAI	L84s	XfqtO3UdzaXh_		ODVG6LM		XTbPUYD	Akkd	cJvF	AU8pNoi	mTDfR8o	oslk	dEJz4Af	LM8l689qOp		ELof	5Acm	RAYp	F2FyR07IdsN7I	mj86	
00024	0	0	0	0							0						0									0			0			89.84							0			0						0													6.317667								9								12	0		0		0					0		0																											0	-232682.8										0		0	4						8	0	0						0			0										0							0			0										0								7											_v2gUHXZeb	RO12		taul	1K8T	h3JW	T2e7I6V	NfN9Bz6HFx			T_K4	9_Y1	STGZ	VpdQ		7M47J5GA0pTYIFxg5uy	kIsH		uKAI	L84s	NhsEn4L				mAja5EA	xrZm	cJvF	FzaX	ACmTklq	oslk	rDbG_aX	LM8l689qOp			453m	ZI9m	F2FyR07IdsN7I		
00025	0	0	0	0						1813	0						0								612	765		14	360			200							0			18864						0													3.032685								9								28	0		629240		0			3181.44		75		18																								192			208	56047.2						1670				60		0	4						0	82770	35304						0			0	0					176876				625276							96			197916										0								0											DHevyx7IEC	RO12		taul	1K8T	hM6W	mjAngaa	y2LIM01bE1			gflG	9_Y1	RcM7	09_Q	IYzP	DHn_WUyBhW_whjA88g9bvA64_	kIsH		uKAI	L84s	CrNX				y5FewfI	lcxw	cJvF		NI5gmOy	d0EEeJi	zbRHEwz				szEZ	nIGXDli	F2FyR07IdsN7I		
00026	1	0	0	1						322	0						0								380	475		4	208			336.56							0			256272						0													6.777612								18							6	14	0		1839192		3			21753.57		55		8									101112															72			248	-533940						475				12		0	-30						8	770060	248496						0			0	0					590968				2755452							42			538908										0								0								204			zC_Wq6e2Rv	AERks4l		taul	1K8T	TyGl	LFsq5o9	glRbITbnHQ			wKNN	9_Y1	_xpN	VpdQ	IYzP	Kxdu	kIsH		uKAI	L84s	FMSzZ91zL2				mAjj1AH	Bk2P	UYBR	FzaX	EPIVHK6	zCkv	MI8iYHE	LM8l689qOp			FSa2	6fzt	F2FcTt7IdMT_v		
